"mes","dia","hora","temperatura","punto_rocio","humedad"
10,7,5,69.08,66.02,89.98
10,2,3,60.98,55.04,80.78
9,21,17,75.02,62.96,66.13
11,24,8,26.06,3.02,36.48
10,6,6,64.94,64.04,96.9
12,19,16,44.06,24.98,46.73
11,16,6,46.94,37.04,68.28
9,1,19,78.98,69.08,71.72
5,11,19,64.04,60.98,89.78
4,23,5,42.8,32,67.22
5,12,3,62.96,51.98,67.34
1,2,10,28.04,10.94,48.15
1,3,20,30.92,15.08,51.38
9,13,7,69.98,66.02,87.26
3,18,1,30.02,8.96,40.65
11,6,9,57.02,42.08,57.29
2,14,9,39.92,24.98,54.81
6,20,3,60.98,53.06,75.14
4,23,2,44.6,33.8,65.61
8,20,11,84.02,64.04,51.12
2,23,18,39.02,37.04,92.53
8,19,19,73.94,60.08,61.92
6,10,3,66.02,60.98,83.79
6,17,15,75.2,66.2,78.65
8,26,10,75.92,55.94,49.95
9,7,3,55.94,46.94,71.7
9,28,1,57.92,51.98,80.55
8,12,6,71.6,68,94.01
10,13,10,64.04,48.02,55.95
1,15,6,37.04,30.02,75.5
