"isla","largo_pico_mm","alto_pico_mm","largo_aleta_mm","masa_corporal_g","sexo"
"Dream",52.8,20,205,4550,"macho"
"Biscoe",43.8,13.9,208,4300,"hembra"
"Biscoe",39,17.5,186,3550,"hembra"
"Biscoe",42.7,18.3,196,4075,"macho"
"Biscoe",40.6,18.8,193,3800,"macho"
"Dream",39.6,18.1,186,4450,"macho"
"Dream",50.2,18.8,202,3800,"macho"
"Biscoe",50.8,17.3,228,5600,"macho"
"Biscoe",52.2,17.1,228,5400,"macho"
"Biscoe",50.7,15,223,5550,"macho"
"Dream",49.6,18.2,193,3775,"macho"
"Dream",37.5,18.9,179,2975,NA
"Dream",41.1,18.1,205,4300,"macho"
"Torgersen",39.7,18.4,190,3900,"macho"
"Torgersen",34.1,18.1,193,3475,NA
"Biscoe",48.4,14.6,213,5850,"macho"
"Dream",43.5,18.1,202,3400,"hembra"
"Dream",55.8,19.8,207,4000,"macho"
"Biscoe",52.5,15.6,221,5450,"macho"
"Biscoe",44.5,14.7,214,4850,"hembra"
"Biscoe",44.4,17.3,219,5250,"macho"
"Dream",46.2,17.5,187,3650,"hembra"
"Dream",38.1,17.6,187,3425,"hembra"
"Dream",40.6,17.2,187,3475,"macho"
"Dream",45.2,16.6,191,3250,"hembra"
"Dream",38.8,20,190,3950,"macho"
"Biscoe",49,16.1,216,5550,"macho"
"Dream",47.6,18.3,195,3850,"hembra"
"Dream",46.8,16.5,189,3650,"hembra"
"Torgersen",38.8,17.6,191,3275,"hembra"
